Use Case Type;Packet Loss Budget;Latency Budget (ns);Jitter Budget (ns);Data Rate Budget (Gbps);Required Mobility;Required Connectivity;Slice Available Transfer Rate (Gbps);Slice Latency (ns);Slice Packet Loss;Slice Jitter (ns);Slice Type;Slice Handover
Smart City;0.0;0;0;0;no;yes;5839.550747540565;878800.9150725193;0.0005920014005004758;2230222.097254007;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;6228.133935387735;1914852.8944753434;0.0005958341800312753;1770922.8417878973;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;3596.5744369974927;1653674.9099440295;0.0005669582548009282;1270594.4885717013;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5625.146430908661;1859569.1568990222;0.0008124057428583027;3154596.488959193;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;7077.435887178445;2343971.6331677735;0.000600296850873695;1532486.0890186047;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6068.383802020257;2195603.9914872725;0.0005112002611584084;3289454.952053941;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6533.463218935423;2956050.5262344414;0.0005558977107194582;1107540.9245468108;feMBB;yes
Smart City;0.0;0;0;0;no;yes;7338.837059513176;2814567.217719161;0.0006410162699825364;1324071.3986385674;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5713.2115879723;1190735.4548994391;0.0007899984658104022;803289.0195198285;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;4058.725974517066;1934457.9948758893;0.0004601152425683894;2055402.2917190215;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;6462.2057373610005;702142.125381825;0.0005299203956899082;2434113.5226358445;umMTC;no
Smart Home;0.0;0;0;0;no;yes;3157.84203272411;1335542.5925909616;0.001;1016857.983555048;umMTC;no
Smart Home;0.0;0;0;0;no;yes;4630.004563452799;602943.2590885425;0.0004918265897440812;2019794.499358077;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;5980.534035343745;954670.6125590379;0.00048486807014138663;1725613.9589464087;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;1.0;2933402.30912668;0.0003600761841238;614130.6254405065;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5421.230198349887;2501806.0520142117;0.0005139602215958239;1931202.3707589023;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5499.826848867695;2411373.676070733;0.0004876370968368193;2613595.3462488283;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3107.464453216465;2783558.7794161662;0.0005655434028489261;2976922.9019226786;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5543.546676150232;2408471.0423755357;0.0005451206881735169;887919.3700987056;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5317.0491773432195;1943484.8010808507;0.0001710698477277357;2681488.5370224724;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5057.113972009337;1607107.7594976572;0.00028217767004030844;2534007.409920197;feMBB;yes
Smart City;0.0;0;0;0;no;yes;6982.691433969112;3130432.6259457115;0.00047310077867270044;1752830.1281695708;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;6465.202442635918;2870923.9925490897;0.00042913151088979783;852704.7053820449;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;6067.0314207137835;1853692.3645631184;0.0003275935237997715;2221458.6339848544;umMTC;no
Smart City;0.0;0;0;0;no;yes;3293.6348215167686;2509242.473121165;0.00019330188174403412;867887.1416697372;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;4971.600664916338;139377.57250028197;0.0007707800602308964;2209797.481789917;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;6974.3604937198825;2542822.107343768;0.0007678624812770562;1607693.307905942;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;4642.766074168126;1666141.050266949;0.0006261858079092559;1433214.111816985;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7590.677655352715;3808324.0123825483;0.00040239016989481976;2188810.477571743;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;6115.710811768103;2767082.220678686;0.0007448895240936408;3536566.9906869903;umMTC;no
Smart Home;0.0;0;0;0;no;yes;7849.482678059925;684878.212748437;0.00038016531995949587;2972446.044099976;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3221.790850395846;1525800.68751685;0.000572537902875335;1994359.3504438398;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;4742.7632118819265;2040387.5724626277;0.0003683132032183669;2195883.113059346;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;4900.291650157082;1971708.0690699758;0.0005040342831282357;1927517.68511582;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;6010.687815174266;1941596.6954006613;0.0005811181412394319;1806354.7064435536;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3769.627129792794;2656488.154848791;0.0002504687859463251;3073058.5341969198;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;2321.422867779209;1639482.0983676566;0.00042960123255489607;2189419.9700177168;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5630.766478679602;1951779.6587195068;0.0005418228602277379;2350408.9625679133;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4389.772332341208;3017381.645409099;0.00029095547614966914;2271937.1585947024;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4216.083379840021;3028146.5250610383;0.00034285561600062826;1960155.6741968044;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;3845.933942550454;2651825.827422399;0.000541862483389097;1304130.4442906152;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;5206.960614958262;1766849.1576044143;0.00041089138933471093;1424113.833107501;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;3205.91692799792;1528450.6421486996;0.00029506773388402895;2210034.8621419393;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4676.872787566683;1972471.2660126607;0.0005049390833943197;2399723.84027617;mURLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3619.4498161838947;2018968.3192415282;0.0005725054631335417;1199865.9159406233;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;3985.3058395915996;1976448.186267345;0.0008740572322554049;1539098.0190915312;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5590.124672924134;2370864.1230838355;0.0005140410164465288;1636696.4603354381;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6086.074535194308;2240444.6498422753;0.0005018427587001362;1372827.791771532;feMBB;yes
Smart City;0.0;0;0;0;no;yes;4490.376139757036;2212605.308040242;0.0004525765912131815;628820.7531846366;umMTC;no
Smart City;0.0;0;0;0;no;yes;6613.389350776978;1688837.9093108186;0.0006915209819116612;1123730.3886332377;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;3379.4728007033054;1200709.2461120011;0.0005543191265007124;1971810.908380927;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;2467.5889747669657;2463095.129658749;0.0006392871575571121;2376472.5679017496;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2773.514076671407;2040461.2253069584;0.0005370756848880403;1541805.9008199782;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3208.3345809422817;2272540.6812846954;0.0006523852098289317;2302336.95449345;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;2812.56342534522;2291148.6504693916;0.0005630137949664477;2062744.873778645;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;8368.753004174094;648792.1118183183;0.00026533470420240536;2464101.6759746457;umMTC;no
Smart City;0.0;0;0;0;no;yes;2417.057057470558;3147674.323523071;0.00045196305165188253;3099070.7672484564;umMTC;no
Smart City;0.0;0;0;0;no;yes;6562.725267510955;1623265.653984947;0.000457076645408782;1413873.4963487103;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;4958.622772962726;2915963.317823354;0.0005738979866300793;1679306.2139048178;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5374.796678118697;2283104.5981256547;0.0005254422565024413;1179973.2378600482;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3491.1014337680103;1280953.4410738947;0.000721733572182484;3007355.956601468;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5542.866966036991;1528241.5707502393;0.0005663399256947051;1709098.7738169013;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;3477.454727974681;1540585.471212038;0.000578593224983209;2158185.6687222742;umMTC;no
Smart Home;0.0;0;0;0;no;yes;6538.289842350406;1578927.2758506096;0.00033098208729798943;2431565.9954535547;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;6676.1882108440805;820430.2810237592;0.0005250181439579392;2953806.442799661;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4775.752582212942;1467692.6888890918;0.0004642085034726577;1008491.7681320712;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4884.904718427095;2644921.5661013313;0.00015586040606627898;2626397.0219955514;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5721.634378394819;2713170.7225179635;0.0002811290538920257;700297.8899496654;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;5636.4521118583025;1549162.0415705608;0.0006204983930184865;1239122.1636652162;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6707.2399308271715;751422.2155886614;0.0006088810310823778;1852587.5306714356;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6660.077234362963;2420612.6847200827;0.00040178071536636794;1987026.7401910042;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;4952.436589023254;1280841.9648640035;0.0004069172475503318;3014807.004910016;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4205.205395822585;1332871.6572384331;0.00031108542916367157;2031665.4503078316;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;6353.064376471151;1811444.6028680764;0.0006649682739061687;1974959.9833434052;ERLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4740.049799479091;1749021.3173389398;0.00036509942118840124;2126559.8868758087;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5190.054279820494;1473498.0271271511;0.00040493335440811105;2759920.113343762;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5884.271987047842;1533736.1019114228;0.0006692685128504793;1521488.5229496248;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6626.2656939635835;1665374.1139737165;0.0006659248706700788;905774.3708426219;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5435.203428490158;1524008.8097996844;0.00047004271919166775;2063311.2773845668;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4021.9346232011676;1565942.6628167338;0.0005021030440102709;2056604.5133467321;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;7995.217738050106;1796180.5807414632;0.000578499398637016;1879941.2239393827;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7550.814628937096;2235571.984077981;0.0004317181222120265;3093926.345921847;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3303.9974051387107;2166035.6120516714;0.0004833660945328103;2564159.378785096;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3481.0326670555414;1638553.55501077;0.0004673129376538827;731618.9712935472;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3690.608532481853;1788871.6636327067;0.0006145095532267845;1665290.7094024587;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6414.610061042732;2896232.9982257527;0.0007361639622381524;2331575.2702881284;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;8058.766129007213;2657756.182278542;0.0006910198840563375;2280139.7535675904;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;4156.795600259167;2365479.132314016;0.000669373608073789;2736553.578296861;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;5282.585718466303;819112.9031837147;0.0003174567049137351;3007060.6457482763;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;3746.282333866845;2071367.5020604641;0.0007153882255883909;2268190.971063162;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;7833.871242677448;1549685.7157460637;0.0003872899940479338;2407056.6157048093;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6375.076431737159;1362326.4513410183;0.00020299476726964833;1081302.9116351688;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;3626.244832754218;1760208.3358148127;0.00035847237431561006;1545416.1593179305;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;1496.9485385979042;2698050.3666668003;0.00048470933261093873;1631719.9080003328;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6729.638831759651;2592185.479723921;0.00016043881975894762;1053701.2513527665;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;4046.454070443657;1586991.1637016423;0.0006186590375126223;2505942.586855785;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;6404.913159990008;2056414.0345043838;0.0006386915904517943;2082608.1061190541;feMBB;yes
Smart City;0.0;0;0;0;no;yes;5489.934946361216;1718960.5480230355;0.0004362913872597942;3222562.673729672;umMTC;no
VR/AR;1,00E-05;0;0;1000;no;no;1943.645661465367;1839956.1948547233;0.0003056584495199507;2436313.932742602;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3656.0065764435876;2665037.5949974842;0.0006538547519224135;2217203.8987419303;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;4410.31787863775;1957897.17898739;0.00034610052266791;3040862.2392649646;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;3874.295982912662;828543.1552490348;0.0002299111236356548;1519294.6096717082;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;5194.094446761494;2092460.226793084;0.0004892565217544989;787987.9234298142;umMTC;no
Servo motors;1,00E-07;100;1000;0;no;no;5669.402180011172;3210912.7386226803;0.000504437663032036;2626431.060612329;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;7982.468335855549;1533334.790163902;0.0005522412666349427;2276930.372933528;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5787.443759214634;3032361.9566923934;0.0006279827928487472;1910728.2655403863;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;7485.419926022173;2411643.6107606282;0.0006482884365934587;1680070.1949817212;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4205.8848268954325;2784173.8655052627;0.0002893073672406202;1515708.5174019937;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;6942.3281536205395;2583628.3903392283;0.00016026396627696112;1994511.6003825404;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4365.233382198534;2118530.2899885704;0.0005766189921653544;2139954.776135163;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3472.291500340877;1591170.9501478584;0.0005082742490561695;2466320.520683692;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3401.865282440976;2117116.692080522;0.00042367008651192367;1043726.788917402;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;597.6815616373106;2155455.0951236477;0.00047586159209506043;2739633.7063742746;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6423.828691129774;2647706.747104045;0.0003606197776160051;1867955.8840682937;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;2850.3899719393753;499327.37126521;0.0007878626076698471;2042341.527046458;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;7347.17403348376;1046753.911634763;0.00016477696457863333;1505362.7515303208;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4710.161532882818;2157536.0097737233;0.000570543433017621;2309333.583267306;mURLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;2409.3178972334235;2221820.7719386094;0.0002858130096058914;3225408.919159258;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;3137.8026832930477;1421850.2389323649;0.0003898277389207185;2526179.749160698;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5318.193131366832;2238185.716295951;0.00042681157822725484;1705067.8912844656;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;1867.5508720056173;2452237.5268778037;0.00033638847228229494;831051.2325157565;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5983.643354089446;1870194.598961403;0.00046221781265489293;1591909.7074673108;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2473.532241948926;2953037.403745055;6.196301780856805e-05;1634847.0777255008;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;3768.995942947772;3077629.8452801835;0.0002444836912798741;2276675.899673121;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;5331.6674389022555;2081190.3320978526;0.00019084972946671353;1561918.6519848923;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5779.7732151736345;2560581.9663209734;0.00029645858922715246;1477288.6171413208;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;6329.900040468852;869092.9237132866;0.0003674148877377309;1762213.6313694671;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;2823.141068480441;2715581.2004477866;0.0004989915102806296;1967718.6144429615;mURLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4486.46342044521;2977324.370760018;0.0003927704723896098;1784119.4252074445;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;6821.983670056544;1323065.1376448348;0.00035504862656347353;1728646.48615536;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4486.8647586341185;2411148.6351549514;0.0004126737414746845;1094120.4061431836;mURLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5490.9083729322365;750967.7969832993;0.0003836478274887284;2297125.834393021;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5271.20502419704;1475485.3899593432;0.00043810485299708104;1310254.1967394133;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;7169.011712626716;1653119.9178146785;0.00044432422265484813;2608378.768399235;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4224.0623279063275;1016832.0748248146;0.00037004078139407973;2740302.0955401678;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2684.1501103163914;1841340.33377789;0.0002374914442686254;1177517.157945588;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;3387.541495088525;1797359.4654677857;0.000491999324540512;3154804.6350360457;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;5315.20849264254;2411184.9683483425;0.0006392826060355515;2733509.676319233;MBRLLC;yes
Smart Home;0.0;0;0;0;no;yes;2384.8603462409596;990735.5753679663;0.0003232261069044169;2110934.2248960286;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;4093.2340938850575;2415562.2326413975;0.0004817442140445048;1341490.784704797;MBRLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;5126.1814188915005;1473888.5399755035;0.0004260481257109141;293255.5369341355;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3722.9742576117605;1147659.7122371108;0.0005966885297052982;2002737.1528603816;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;5545.200937380931;1869072.7061563516;0.000355445777022191;2085374.847354478;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6207.732201953417;2501829.1140262093;0.0004640159493540115;2591845.9233424985;mURLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5758.605181821132;1677194.1688240932;0.00047938645218088594;691628.7915298806;MBRLLC;yes
Smart City;0.0;0;0;0;no;yes;2421.5829840729625;2342604.367373853;0.0005424274590088628;2658751.3056373354;umMTC;no
Smart City;0.0;0;0;0;no;yes;5132.457115584783;2185938.053941178;0.00031645267044850395;2751781.1057799933;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5262.877604346777;4000000.0;0.0005506709326498113;2284587.575054354;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;4365.679957998881;1791610.1454975514;0.00041122039968308666;1099200.3944173423;ERLLC;yes
Smart Home;0.0;0;0;0;no;yes;5522.632802925144;1889006.8306753065;0.0005857060703450554;1846405.2952373207;umMTC;no
Smart Home;0.0;0;0;0;no;yes;5462.828055480055;2738615.347024191;0.0004336962559143498;1231373.6694176407;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;4849.056417767865;1965526.308976769;0.0007088138796342002;1125044.2308271443;mURLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3326.881248590803;2167324.7038894324;0.00023178203734540274;1221895.587671878;mURLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4956.136182991829;828903.3031694989;0.0005905628474904699;2146239.7822566507;ERLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;8111.740390969409;1918723.347237792;0.0005521652904263465;1446523.3783067768;MBRLLC;yes
Servo motors;1,00E-07;100;1000;0;no;no;4346.7203361453485;1529935.6270304124;0.0005768375133254839;1843442.3834613634;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;6745.834546050315;1680328.8101979345;0.000675527415425508;2444350.018627629;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5065.25522477594;2171026.2631807257;0.00020035493233726308;1996554.7332813232;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3666.0851626019585;1963394.4225140114;0.0008610902702961787;1735100.0953328223;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4506.221602417403;2514775.2832487337;0.0005864919472871273;1905246.5261476294;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;4972.385522215449;2635989.547540225;0.0008215516519369014;3068376.961349094;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6092.4099085537955;1881866.7090778921;0.0008108548189549611;2862447.3524525743;feMBB;yes
VR/AR;1,00E-05;0;0;1000;no;no;8966.845740457411;2199654.0867032045;0.000571375849205314;366788.44748256006;feMBB;yes
Smart Home;0.0;0;0;0;no;yes;5091.598565922787;644219.8793704391;0.0005429755046506531;1676490.08424092;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;2949.2730910526207;2209720.6903393418;0.0006249191524523806;2009712.9660981556;feMBB;yes
Smart City;0.0;0;0;0;no;yes;2243.1467607699065;2702008.595446216;0.00011982219083224975;3372948.227449739;umMTC;no
Smart City;0.0;0;0;0;no;yes;4297.596015214444;1393499.5358158653;0.00048532322916504974;1876469.6529281326;umMTC;no
V2X;1,00E-09;1000000;0;0;yes;no;3120.5415146778523;2503673.424068071;0.0006614811312365547;1731500.7870153417;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5930.250844849183;1698684.81625378;0.0007546703150637388;1840770.9219876735;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;5942.498663223441;1615543.3797310402;0.0004475865861848532;1922537.75060256;MBRLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;4757.231942059239;2949458.802690519;0.0005601098612394885;2142937.759366347;ERLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6096.03449875969;1978070.954517212;0.0005954235008845486;2243759.3684505685;feMBB;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;5108.421453057375;2577877.519617801;0.00048629180162417977;1870512.716073202;mURLLC;yes
Smart City;0.0;0;0;0;no;yes;8112.811729981366;698255.8331980505;0.00034440168159289794;3229350.811058616;umMTC;no
Delivery drones;1,00E-06;1000000;0;0;yes;no;6043.937223100664;1593442.7878579726;0.00038958942363687506;2021886.7059912283;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6493.045857401092;2474398.2501339624;0.00032588976677327193;2771822.9006708325;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;2587.195669868073;2082940.118103528;0.00024793340408743147;2050291.1948755102;ERLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3048.6361271924743;1877422.764705597;0.0004717171202324556;1721416.4440914663;mURLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5798.4842371031045;2402652.1941931974;0.0008694585600271158;2311634.977720978;feMBB;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;2418.7190235741514;1445763.770735812;0.0005410873830176721;397161.1007655973;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;3959.8110078486425;2811494.242148157;0.0004521709036565544;1895059.0754458846;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;6965.991119711798;1858280.3754362212;0.0005621441981595919;56601.383840357186;feMBB;yes
Motion control;1,00E-06;1000;1000000;0;no;no;3924.181309790848;1456174.521380838;0.00036235624258319456;1182883.479357929;ERLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;2984.48044497253;1499957.4140429192;0.00022319878811926004;1467999.3803264396;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;6112.960928291141;1945633.9228145569;0.0003851343860422013;1983980.3821817855;MBRLLC;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;8456.04148802707;1715682.5977662597;0.00031162111376030986;2223245.9991077427;MBRLLC;yes
V2X;1,00E-09;1000000;0;0;yes;no;3652.89284608858;2350773.339274102;0.00019185416062893668;886451.2918714094;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;7040.338992605037;1969087.473318894;0.00040830202796523574;1667835.2732472408;feMBB;yes
Servo motors;1,00E-07;100;1000;0;no;no;3445.363918220197;1762679.1611120203;0.0005813531764803571;1767103.1553498039;ERLLC;yes
Smart City;0.0;0;0;0;no;yes;4813.072442785162;2235596.1113633113;0.0005657783532344771;3368880.566181296;umMTC;no
Smart City;0.0;0;0;0;no;yes;4885.28995598804;1646972.9536307515;0.0005452122421334932;1952455.6810597994;umMTC;no
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;3697.3274301534034;2327556.395966446;0.0007782269181847755;1151277.3847245849;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;6459.346286694972;2217595.6586471368;0.0004079362829822261;2569855.6244440023;umMTC;no
3D/UHD Video;1,00E-05;0;0;1000;no;no;2434.5551026115786;2190162.3261552346;0.0005721355762405122;1819267.9607858872;feMBB;yes
Delivery drones;1,00E-06;1000000;0;0;yes;no;5325.546842330105;1761368.681700796;0.0004352795442523261;2496689.125529391;MBRLLC;yes
Remote health monitoring;1,00E-05;1000000;0;0;no;yes;6790.595269558515;1580261.144141929;0.0007369791196512967;2670289.6648159157;mURLLC;yes
Smart Home;0.0;0;0;0;no;yes;6320.6404214954655;2539138.6796039757;0.0003652531328085839;1431104.0475243249;umMTC;no
Motion control;1,00E-06;1000;1000000;0;no;no;5819.109898799299;2409369.937851568;0.0006238903913121578;1727158.844240513;ERLLC;yes
Motion control;1,00E-06;1000;1000000;0;no;no;7642.40143877003;1328010.1964720995;0.0005416269464583106;1746626.2442636504;ERLLC;yes
3D/UHD Video;1,00E-05;0;0;1000;no;no;4634.507657760038;1711448.7288257238;0.0007032218018988317;2587591.790943154;feMBB;yes
V2X;1,00E-09;1000000;0;0;yes;no;2459.5438733302294;2893140.4793562;0.0005015423516500297;3081612.663400186;MBRLLC;yes
VR/AR;1,00E-05;0;0;1000;no;no;5225.8222748056605;2656005.3448756873;0.0004605619882272995;3106990.3392293984;feMBB;yes
